"[6042228, 1, 2013-06-24 15:22:59.0, 001580317, 00106267830001530921, 201306220007, MYD41761S3, 7, null, 0, 0, 0, 0, null, null]"
"[6042230, 1, 2013-06-24 15:23:58.0, 001580409, 00106267830001530945, 201306220007, MYD41761S3, 9, null, 0, 0, 0, 0, null, null]"
"[6042231, 1, 2013-06-24 15:24:30.0, 001580528, 00106267830001530952, 201306220007, MYD41761S3, 10, null, 0, 0, 0, 0, null, null]"
"[6042232, 1, 2013-06-24 15:25:00.0, 001580532, 00106267830001530969, 201306220007, MYD41761S3, 11, null, 0, 0, 0, 0, null, null]"
"[6042233, 1, 2013-06-24 15:25:33.0, 001580533, 00106267830001530976, 201306220007, MYD41761S3, 12, null, 0, 0, 0, 0, null, null]"
"[6042235, 1, 2013-06-24 15:26:34.0, 001580976, 00106267830001530990, 201306220007, MYD41761S3, 19, null, 0, 0, 0, 0, null, null]"
"[6042236, 1, 2013-06-24 15:27:07.0, 001580994, 00106267830001531003, 201306220007, MYD41761S3, 20, null, 0, 0, 0, 0, null, null]"
"[6042237, 1, 2013-06-24 15:27:41.0, 001581001, 00106267830001531010, 201306220007, MYD41761S3, 21, null, 0, 0, 0, 0, null, null]"
"[6042238, 1, 2013-06-24 15:28:11.0, 001580334, 00106267830001531027, 201306220007, MYD41761S3, 22, null, 0, 0, 0, 0, null, null]"
"[6042239, 1, 2013-06-24 15:28:44.0, 001580384, 00106267830001531034, 201306220007, MYD41761S3, 23, null, 0, 0, 0, 0, null, null]"
"[6042240, 1, 2013-06-24 15:29:33.0, 001580558, 00106267830001531041, 201306220007, MYD41761S3, 1, null, 0, 0, 0, 0, null, null]"
"[6042641, 1, 2013-06-24 15:49:11.0, 001581172, 012274588, null, null, 0, null, 1, 870, 0, 0, 004707458, null]"
"[6042842, 1, 2013-06-24 15:55:02.0, 000946511, PL405830601, null, null, 0, null, 1, 2, 0, 0, null, null]"
"[6043142, 1, 2013-06-24 15:56:18.0, 001599480, 00099999990001602145, 201306240017, SK0002777, 1, null, 0, 0, 0, 0, null, null]"
"[6043344, 1, 2013-06-24 15:58:39.0, 000946511, PL405830601, null, null, 0, null, 1, 2, 0, 0, 004607067, 004607067]"
"[6043444, 1, 2013-06-24 15:59:42.0, 000199449, 00099999990001526465, 201306200042, AS66426798, 2, null, 0, 0, 0, 0, null, null]"
"[6043545, 1, 2013-06-24 16:02:10.0, 001580558, 00006267830001530795, 201306220006, MYD41761S2, 1, null, 0, 288, 0, 0, 004706202, null]"
"[6043545, 2, 2013-06-24 16:02:32.0, 001580298, 00006267830001530795, 201306220006, MYD41761S2, 2, null, 0, 378, 0, 0, 004706203, null]"
